Model,ROC_AUC,Accuracy@0.5,F1@0.5
XGB,0.9963225438238891,0.9804081632653061,0.8958333333333334
LGB,0.9959589074602527,0.9817142857142858,0.901060070671378
CAT,0.9955737464329393,0.9777959183673469,0.8843537414965986
GBDT,0.9951957602935182,0.9769795918367347,0.8772845953002611
RF,0.9897379535262945,0.9611428571428572,0.8123028391167192
LR,0.935023562984101,0.8618775510204082,0.5346534653465347
DT,0.9315973909498574,0.9467755102040817,0.7429022082018928
NB,0.8228947411333061,0.7402448979591837,0.34875153499795336
MLP,0.6760210354667755,0.5897142857142857,0.23963691376701968
SVM,0.5,0.08979591836734693,0.1647940074906367
